cons_standings_ID,race_ID,constructor_ID,cumul_points,cumul_position
4760,283,29,4,9
4761,283,22,53,3
4762,283,32,10,6
4763,283,33,2,10
4764,283,26,0,12
4765,283,17,0,11
4766,283,25,0,13
4767,284,3,129,1
4768,284,1,56,3
4769,284,27,21,4
4770,284,18,7,7
4771,284,15,7,8
4772,284,6,14,5
4773,284,29,4,9
4774,284,22,60,2
4775,284,32,12,6
4776,284,33,2,10
4777,284,26,0,12
4778,284,17,0,11
4779,284,25,0,13
4780,285,3,139,1
4781,285,1,60,3
4782,285,27,21,4
4783,285,18,7,8
4784,285,15,10,7
4785,285,6,20,5
4786,285,29,4,9
4787,285,22,62,2
4788,285,32,12,6
4789,285,33,3,10
4790,285,26,0,12
4791,285,17,0,11
4792,285,25,0,13
4793,286,3,149,1
4794,286,1,60,3
4795,286,27,22,5
4796,286,18,7,8
4797,286,15,12,7
4798,286,6,23,4
4799,286,29,4,9
4800,286,22,72,2
4801,286,32,12,6
4802,286,33,3,10
4803,286,26,0,12
4804,286,17,0,11
4805,286,25,0,13
4806,287,3,158,1
4807,287,1,74,2
4808,287,27,22,5
4809,287,18,7,8
4810,287,15,12,7
4811,287,6,23,4
4812,287,29,4,9
4813,287,22,72,3
4814,287,32,12,6
4815,287,33,3,10
4816,287,26,0,12
4817,287,17,3,11
4818,287,25,0,13
4819,288,3,168,1
4820,288,1,84,2
4821,288,27,23,5
4822,288,18,7,8
4823,288,15,12,7
4824,288,6,28,4
4825,288,29,4,9
4826,288,22,72,3
4827,288,32,12,6
4828,288,33,3,10
4829,288,26,0,12
4830,288,17,3,11
4831,288,25,0,13
5037,240,22,10,1
5038,240,3,6,2
5039,240,6,6,3
5040,240,1,4,4
5041,240,25,0,5
5042,240,27,0,6
5043,240,30,0,7
5044,240,28,0,8
5045,241,22,17,1
5046,241,3,16,2
5047,241,6,13,3
5048,241,1,4,4
5049,241,25,0,7
5050,241,27,0,6
5051,241,30,0,8
5052,241,28,0,10
5053,241,15,2,5
5054,241,31,0,9
5055,242,22,17,3
5056,242,3,29,1
5057,242,6,23,2
5058,242,1,6,4
5059,242,25,0,7
5060,242,27,0,6
5061,242,30,0,9
5062,242,28,0,11
5063,242,15,3,5
5064,242,31,0,10
5065,242,17,0,8
5066,242,18,0,12
5067,242,29,0,13
5068,243,22,33,1
5069,243,3,32,2
5070,243,6,27,3
5071,243,1,6,4
5072,243,25,0,8
5073,243,27,1,7
5074,243,30,0,10
5075,243,28,0,11
5076,243,15,3,5
5077,243,31,0,9
5078,243,17,2,6
5079,243,18,0,13
5080,243,29,0,12
5081,244,22,46,1
5082,244,3,38,2
5083,244,6,31,3
5084,244,1,8,4
5085,244,25,0,8
5086,244,27,1,7
5087,244,30,0,12
5088,244,28,0,13
